REG_ALUNO,SIGLA_CURS,STATUS,D_ADIMISSA,D_FINAL,D_TRANCA,D_PRELIMI,D_RETORNO,D_PROPOSTA,D_INTEGRADO,D_QUALIFICAÇÃO,D_SEMINÁRIO,D_SITUÇÃO,TOTCREDI,CONCGLOB,NOTAGLOB,COD_BANCA,NIVEL,TITUTESE,APROVADO,O_ACADEM,O_PESQ1,O_PESQ2,O_PESQ3,O_PESQ4,Observação
1.7911991000000000e+07,"CEAAG","Concluído","03/01/91 00:00:00","11/07/95 00:00:00",,"06/13/95 00:00:00",,,"04/27/93 00:00:00",,,"11/07/95 00:00:00",8.9000000000000000e+01,"A-",3.67877769e+00,,"Doutorado","Dinâmica não linear de ondas de Langmuir e eletromagnéticas em plasmas espaciais.","Sim",6.3350000000000000e+03,7.0793000000000000e+04,9.8736000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,
1.8051991000000000e+07,"CEAAG","Concluído","03/01/91 00:00:00","03/02/94 00:00:00",,"11/30/93 00:00:00",,,"07/28/92 00:00:00",,,"03/02/94 00:00:00",3.8000000000000000e+01,"B+",3.30500007e+00,,"Mestrado","Micropulsações geomagnéticas em Santa Maria - RS.","Sim",6.3350000000000000e+03,8.6000000000000000e+01,6.6966000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,
1.8051994000000000e+07,"GES","Concluído","03/01/94 00:00:00","12/11/98 00:00:00",,"07/01/97 00:00:00",,,"11/28/95 00:00:00",,,"12/11/98 00:00:00",8.6000000000000000e+01,"A-",3.68099999e+00,,"Doutorado","ESTUDO DE MICROPULSAÇÕES GEOMAGNÉTICAS PC 3-5 EM LATITUDES MUITO BAIXAS NO BRASIL.","Sim",9.3408000000000000e+04,5.8000000000000000e+03,7.7570000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,
1.8481991000000000e+07,"CEAAG","Concluído","03/01/91 00:00:00","02/28/94 00:00:00",,"11/12/93 00:00:00",,,"07/28/92 00:00:00",,,"02/28/94 00:00:00",3.8000000000000000e+01,"B ",3.12500000e+00,,"Mestrado","Análise por aregressão iterativa de periodicidades nas variações dos cosmocuclídeos atmosféricos Be-10 e C-14.","Sim",6.3350000000000000e+03,7.0831000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.8481994000000000e+07,"GES","Concluído","03/01/94 00:00:00","12/17/98 00:00:00","06/17/96 00:00:00","06/25/98 00:00:00","03/01/97 00:00:00",,"06/26/95 00:00:00",,,"12/17/98 00:00:00",8.6000000000000000e+01,"A-",3.54099989e+00,,"Doutorado","""REGISTROS DA ATIVIDADE SOLAR E DE OUTROS FENÔMENOS GEOFÍSICOS EM ANÉIS DE ÁRVORES"".","Sim",9.3408000000000000e+04,7.0831000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.8801991000000000e+07,"CEAAG","Desligado","03/01/91 00:00:00",,,,,,,,,"03/01/93 00:00:00",2.1000000000000000e+01,"B ",3.05484605e+00,,"Mestrado",,"Sim",6.3350000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.8991991000000000e+07,"CEAAG","Concluído","03/01/91 00:00:00","03/03/94 00:00:00",,"11/30/93 00:00:00",,,"09/18/92 00:00:00",,,"03/03/94 00:00:00",3.8000000000000000e+01,"B ",3.08500004e+00,,"Mestrado","Estudos de polarização de pulsações magnéticas na faixa Pc 3 a Pc 5 observadas em Santa Maria e Eusébio.","Sim",6.3350000000000000e+03,8.6000000000000000e+01,6.6966000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,
2.9432000000000000e+07,"ISO","Desligado","03/02/00 00:00:00",,,,,,,,,,3.0000000000000000e+00,"C ",2.00099993e+00,,"Isolado",,"Não",4.8437000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
3.3871986000000000e+07,"SER","Concluído","03/01/86 00:00:00","03/08/90 00:00:00",,"10/27/88 00:00:00",,,"03/11/88 00:00:00",,,"03/08/90 00:00:00",3.9000000000000000e+01,"B+",3.31638455e+00,,"Mestrado","Método de seleção de composições coloridas TM-LANDSAT para análise de classes de uso da Terra.","Sim",1.6350000000000000e+03,1.6350000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
4.8551992000000000e+07,"CAP","Concluído","03/01/92 00:00:00","02/23/95 00:00:00",,"12/20/94 00:00:00",,,"05/25/93 00:00:00",,,"02/23/95 00:00:00",3.7000000000000000e+01,"A-",3.55100012e+00,,"Mestrado","Otimização de leiaute utilizando busca tabu.","Sim",5.9579000000000000e+04,9.3106000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
